I found out that I'm getting a bonus for having the top rating in my district!</s>		<pad> That's awesome! What district is it in?</s>		Congratulations! That is amazing! You must be a hard worker. What do you do?</s>
I just had a delicious breakfast and now I'm casually relaxing in my room. Life is good!</s>		<pad> That's great! What did you eat?</s>		What was for breakfast?</s>
My husband was teaching me how to make a steak. The flame was so warm!</s> That sounds like a fun thing to do as a couple.</s> It was but I was so sad that I was so scared</s>		<pad> That sounds like a great idea.</s>		Why were you so scared?</s>
I'm moving into another apartment and just told my neighbor I was leaving. He said he was sorry I'm going!</s> How long have you been there?</s> About a year and a half. I really didn't expect him to say that - we don't know each other that well.</s>		<pad> I'm sorry to hear that. I hope you have a great time.</s>		Sometimes we affect people that we don't realize.</s>
The other day I framed the puzzle we used as a guest book at our wedding.</s>		<pad> That's so cool! What did you do?</s>		What a great idea, where did that come from?</s>
I have a beautiful girl friend. But I met someone else.</s> on to the next one, as they say!</s> I'm trying to figure out how to kick her out of my place.</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		have the new chick there when she comes home</s>
I just made the most delicious pie</s> Really? What kind was it?</s> It was apple pit, I let it cool to room temp and ate it with ice cream it was so good.</s>		<pad> I bet you were a little jealous.</s>		Oh I love apple pie with ice cream, it's such a good combination</s>
I love the adventure and perspective of living away from my home state -- but that doesn't mean I don't miss elements of it while I'm gone!</s> Same here. I actually moved to the other side of the USA, and I do miss my home</s> Are you able to visit often? That helps -- but it's funny how things never feel *exactly* the same, you know?</s>		<pad> I'm glad you're able to visit again soon.</s>		Not as often as I would like. Air travel is expensive after all. I know exactly what you mean though!</s>
I went to a job interview a few days ago, and I feel like I totally rocked it!</s>		<pad> That's awesome! Did you get a job offer?</s>		Oh man, that's awesome. I hope you get it!</s>
I found an old picture of when my oldest daughter started kindergarten 11 years ago.</s>		<pad> That's great! I'm glad she's doing well.</s>		that must be a cute picture</s>
Last week I saw a three piece rock band that sounded so huge that I was sure they were playing with a backing track. I asked their tech, and checked their equipment and guess what!? It was just them!</s>		<pad> That's awesome! I've never heard of a band that sounds like it.</s>		It was who,who were them?</s>
I've been training a new girl at work this week!</s> How is she doing</s> She's doing great, especially for her second week on the job!</s>		<pad> That's great! I hope she's doing well.</s>		I am happy for you and her</s>
I'm very annoyed because my friend didn't give me my money back</s> Was it a large amount?</s> Yes! it was to cover his rent and he was supposed to pay me back</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		That's rough. I'm sorry that must put you in a real bind.</s>
My father almost died. His recent health problems have been devastating.</s> That's so sad, I hope you've gotten over it.</s> It is tough, but I think I will make it.</s>		<pad> I hope you are ok.</s>		That's good, death is a natural part of life.</s>
My husband is the most faithful man I know</s> that is great to hear! a faithful spouse is a blessing</s> I have so many health problems and he is always there for many no matter what being loving and caring</s>		<pad> That is great to hear! I hope you have a good marriage!</s>		i am sorry to hear about that! i hope everything gets better for you!</s>
I had this guy flag me down today after leaving the store.</s>		<pad> Oh no! Did you get a ticket?</s>		What did he want? It's kinda scary when that happens, you never know what they want.</s>
I saw these 4-color Bic pens in the store the other day. I remember when I was young and getting one was like Christmas morning!</s> The ones with the little colored sliders on the end? Those were cool!</s> Yes! My mom used to always get me one each year before school started. Those were the coolest pens in the world!</s>		<pad> I remember my mom getting me one for Christmas. I remember when I was a kid.</s>		I liked them too.</s>
My friend and I spotted a mini-gold course when we were coming back from the next state over.</s>		<pad> That's awesome! Did you go to the golf course?</s>		Yes! thats actually amazing, you have a good friend!</s>
I had a job interview yesterday that I thought went really well, but it didn't. They just emailed me back and told me that I didn't get the job.</s>		<pad> That's terrible. Did you get the job?</s>		Oh man, I'm sorry to hear that! It doesn't necessarily mean it went bad, though. Maybe they just had a more qualified candidate?</s>
I was feeling really down for a few weeks and my sister knew. She drove hours to come see me and make me feel better!</s>		<pad> That is so nice of her. I hope you feel better soon.</s>		That is a great sister. I'm sorry you were feeling down</s>
Sometimes things don't work out like you planned. It can be a real let down though.</s> What happened?</s> I got two tickets for a friend and I for a concert. The day of the show, it poured and no one got a refund.</s>		<pad> That's terrible. I hope you get a refund.</s>		That is bad. You should have got refunded.</s>
I was looking at old pictures the other day and kind of wishing I could go back to those times in my life.</s> Do you reach out to your friends from your childhood?</s> As much as I can, but some have gotten far enough away that I'm not sure how to track them down anymore.</s>		<pad> I'm sorry to hear that. I hope you find them soon.</s>		Exhaust all options, social media is a big way to stay connected</s>
Yesterday my car ran out of oil and broke down. I could not believe I would let such a thing happen!</s>		<pad> Oh no! I'm sorry to hear that. I hope you are okay.</s>		Oh no! Did it do any meaningful damage?</s>
Do any of your kids play any sports?</s>		<pad> That's great! What sport do they play?</s>		No, I do not have kids. Yours?</s>
I am so glad that I decided to pack a kit for my car in case of bad winter weather.</s> I bet you are, that's some pretty good foresight right there! Did you have to use it this past winter?</s> I did, two days after packing it we had a blizzard and my tire went flat out in the middle of it. I would have been very unhappy had I not packed it.</s>		<pad> I bet you were. I'm sure you'll be fine.</s>		How satisfying must it be to have something like that ready to go in case of emergency, and then to actually get to use it? I'm pretty jealous, and proud in a vicarious kind of way.</s>
